,lat,lon,depth,time,orid,evid,julian_date,nass,ndef,ndp,grn,srn,etype,review,depdp,dtype,mb,mbid,ms,msid,ml,mlid,algorithm,auth,commid_x,lddate_x,date,sxx,syy,szz,stt,sxy,sxz,syz,stx,sty,stz,sdobs,smajax,sminax,strike,sdepth,stime,conf,commid_y,lddate_y
6302,55.9922,-120.385,0.0,1549895646.69981,6303,6303,-1,9,9,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.21,12205,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 14:34:06.699810028,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6303,55.9894,-120.435,2.5625,1549896811.25738,6304,6304,-1,6,6,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.11,12206,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 14:53:31.257380009,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6304,55.9838,-120.43,0.0,1549896811.60196,6305,6305,-1,8,8,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.22,12207,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 14:53:31.601959944,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6305,55.995,-120.44,4.125,1549898292.7074099,6306,6306,-1,7,7,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.13,12208,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 15:18:12.707409859,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6306,55.9753,-120.48,4.125,1549899963.2527099,6307,6307,-1,7,7,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.1,12209,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 15:46:03.252709866,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6307,55.9838,-120.44,1.9375,1549900341.62386,6308,6308,-1,6,6,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.33,12210,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 15:52:21.623859882,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6308,55.9866,-120.43,1.625,1549900397.65528,6309,6309,-1,8,8,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.09,12211,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 15:53:17.655280113,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6309,55.9838,-120.44,1.0,1549900468.12064,6310,6310,-1,13,13,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.46,12212,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 15:54:28.120640039,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6310,55.9809,-120.45,0.0,1549900569.6186302,6311,6311,-1,6,6,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.21,12213,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 15:56:09.618630171,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6311,56.0034,-120.43,4.4375,1549900660.5401099,6312,6312,-1,7,7,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,-0.02,12214,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 15:57:40.540109873,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6312,56.0147,-120.4,3.8125,1549900693.5643802,6313,6313,-1,13,13,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.24,12215,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 15:58:13.564380169,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6313,55.9978,-120.415,1.3125,1549900829.9509099,6314,6314,-1,9,9,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.12,12216,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 16:00:29.950909853,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6314,55.995,-120.425,1.3125,1549901004.45294,6315,6315,-1,15,15,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.24,12217,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 16:03:24.452939987,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6315,55.9894,-120.41,1.9375,1549901067.322,6316,6316,-1,18,18,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.41,12218,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 16:04:27.322000027,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6316,55.9978,-120.46,3.8125,1549901359.25011,6317,6317,-1,11,11,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.47,12219,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 16:09:19.250109911,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6317,55.9866,-120.43,1.9375,1549901891.30886,6318,6318,-1,9,9,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.11,12220,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 16:18:11.308860064,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6318,55.9838,-120.455,1.9375,1549902153.79794,6319,6319,-1,10,10,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.31,12221,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 16:22:33.797940016,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6319,55.9809,-120.44,1.3125,1549904400.14789,6320,6320,-1,7,7,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.06,12222,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 17:00:00.147890091,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6320,56.0091,-120.44,3.8125,1549904487.13511,6321,6321,-1,15,15,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.26,12223,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 17:01:27.135109901,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
